employeeId,firstName,lastName,gender,hireDate,birthDate,deptNo,fromDate,toDate
1000,Carla,Pérez,F,2023-02-15,1990-05-10,D011,2023-10-01,2023-11-01
1001,Luis,Gómez,M,2022-05-20,1988-09-18,D021,2023-01-15,2023-02-15
1002,Ana,Martínez,F,2023-03-10,1995-11-25,D010,2023-09-05,2023-10-05
1003,David,Fernández,M,2023-04-22,1992-07-30,D011,2023-10-01,2023-11-01
1004,María,Rodríguez,F,2022-08-14,1991-03-12,D021,2023-01-15,2023-02-15
1005,José,López,M,2023-01-07,1993-12-05,D010,2023-09-05,2023-10-05
1006,Laura,Sánchez,F,2022-12-19,1997-06-28,D011,2023-10-01,2023-11-01
1007,Pedro,Ramírez,M,2023-05-30,1994-10-14,D021,2023-01-15,2023-02-15
1008,Marta,García,F,2022-09-25,1996-02-20,D010,2023-09-05,2023-10-05
1009,Carlos,Molina,M,2023-06-18,1992-08-03,D011,2023-10-01,2023-11-01
1010,Isabel,Díaz,F,2022-10-11,1998-04-15,D021,2023-01-15,2023-02-15
1011,Javier,Pérez,M,2023-07-12,1990-07-21,D010,2023-09-05,2023-10-05
1012,Elena,Ruiz,F,2022-11-05,1993-02-08,D011,2023-10-01,2023-11-01
1013,Alejandro,Ortega,M,2023-08-24,1997-09-11,D021,2023-01-15,2023-02-15
1014,Paula,Navarro,F,2022-12-03,1995-01-29,D010,2023-09-05,2023-10-05
1015,Andrés,Ramírez,M,2023-03-15,1995-02-19,D011,2023-10-01,2023-11-01
1016,Sofía,López,F,2022-11-30,1994-07-03,D021,2023-01-15,2023-02-15
1017,Manuel,Fernández,M,2023-01-25,1990-10-12,D010,2023-09-05,2023-10-05
1018,Marina,Gómez,F,2022-08-05,1998-06-14,D011,2023-10-01,2023-11-01
1019,Diego,Martínez,M,2023-05-10,1991-03-24,D021,2023-01-15,2023-02-15
1020,Lucía,Rodríguez,F,2022-12-28,1993-09-07,D010,2023-09-05,2023-10-05
1021,Juan,Pérez,M,2023-06-07,1996-04-02,D011,2023-10-01,2023-11-01
1022,Carmen,Sánchez,F,2022-10-15,1992-12-01,D021,2023-01-15,2023-02-15
1023,Francisco,Ortega,M,2023-04-20,1990-11-30,D010,2023-09-05,2023-10-05
1024,Isabella,Molina,F,2022-07-22,1997-08-25,D011,2023-10-01,2023-11-01
1025,Rafael,Ruiz,M,2023-08-11,1994-05-17,D021,2023-01-15,2023-02-15
1026,Lorena,García,F,2022-09-01,1991-10-08,D010,2023-09-05,2023-10-05
1027,Andrea,Díaz,F,2023-02-19,1995-07-26,D011,2023-10-01,2023-11-01
1028,Pablo,Navarro,M,2022-06-12,1993-04-05,D021,2023-01-15,2023-02-15
1029,Valentina,Ortiz,F,2023-07-14,1990-09-16,D010,2023-09-05,2023-10-05
1030,Antonio,Ramírez,M,2022-11-18,1998-02-23,D011,2023-10-01,2023-11-01
1031,Valeria,Flores,F,2023-03-25,1996-11-14,D011,2023-10-01,2023-11-01
1032,Emilio,Gutierrez,M,2022-09-04,1994-08-27,D021,2023-01-15,2023-02-15
1033,Olivia,Pérez,F,2023-05-09,1993-12-07,D010,2023-09-05,2023-10-05
1034,Adrián,Gómez,M,2022-12-15,1997-02-28,D011,2023-10-01,2023-11-01
1035,Natalia,Rodríguez,F,2023-01-30,1991-10-11,D021,2023-01-15,2023-02-15
1036,Diego,López,M,2022-07-02,1995-09-01,D010,2023-09-05,2023-10-05
1037,Sofía,Martínez,F,2023-06-12,1990-06-24,D011,2023-10-01,2023-11-01
1038,Matías,Fernández,M,2022-10-02,1996-10-09,D021,2023-01-15,2023-02-15
1039,Victoria,Sánchez,F,2023-04-08,1993-03-29,D010,2023-09-05,2023-10-05
1040,Sebastián,Díaz,M,2022-08-09,1996-01-06,D011,2023-10-01,2023-11-01
1041,Amelia,Ortega,F,2023-07-19,1992-07-15,D021,2023-01-15,2023-02-15
1042,Daniel,Ramírez,M,2022-12-04,1994-04-28,D010,2023-09-05,2023-10-05
1043,Ana,García,F,2023-02-10,1990-04-13,D011,2023-10-01,2023-11-01
1044,Hugo,Ruiz,M,2022-06-15,1995-08-19,D021,2023-01-15,2023-02-15
1045,Lucía,Navarro,F,2022-05-21,1996-05-25,D010,2023-09-05,2023-10-05
1046,Alejandro,Ortiz,M,2023-07-14,1992-04-02,D011,2023-10-01,2023-11-01
1047,Isabella,Flores,F,2023-03-11,1990-03-15,D011,2023-10-01,2023-11-01
1048,Manuel,Gutierrez,M,2022-07-09,1994-12-28,D021,2023-01-15,2023-02-15
1049,Julia,Pérez,F,2023-01-14,1992-09-21,D010,2023-09-05,2023-10-05
1050,Lucas,Gómez,M,2022-11-26,1997-06-06,D011,2023-10-01,2023-11-01
1051,Valentina,Rodríguez,F,2023-06-02,1995-04-12,D021,2023-01-15,2023-02-15
1052,Diego,López,M,2022-12-29,1990-08-30,D010,2023-09-05,2023-10-05
1053,Sofía,Martínez,F,2023-05-06,1993-03-05,D011,2023-10-01,2023-11-01
1054,Matías,Fernández,M,2022-10-02,1996-10-09,D021,2023-01-15,2023-02-15
1055,Victoria,Sánchez,F,2023-04-30,1991-11-19,D010,2023-09-05,2023-10-05
1056,Sebastián,Díaz,M,2023-02-09,1995-12-18,D011,2023-10-01,2023-11-01
1057,Amelia,Ortega,F,2022-08-17,1997-08-23,D021,2023-01-15,2023-02-15
1058,Daniel,Ramírez,M,2023-06-25,1990-02-01,D010,2023-09-05,2023-10-05
1059,Ana,García,F,2022-11-14,1994-09-07,D011,2023-10-01,2023-11-01
1060,Hugo,Ruiz,M,2023-03-19,1993-07-31,D021,2023-01-15,2023-02-15
1061,Lucía,Navarro,F,2022-05-21,1996-05-25,D010,2023-09-05,2023-10-05
1062,Alejandro,Ortiz,M,2023-07-14,1992-04-02,D011,2023-10-01,2023-11-01
1063,Isabella,Flores,F,2023-03-11,1990-03-15,D011,2023-10-01,2023-11-01
1064,Manuel,Gutierrez,M,2022-07-09,1994-12-28,D021,2023-01-15,2023-02-15
1065,Julia,Pérez,F,2023-01-14,1992-09-21,D010,2023-09-05,2023-10-05
1066,Lucas,Gómez,M,2022-11-26,1997-06-06,D011,2023-10-01,2023-11-01
1067,Valentina,Rodríguez,F,2023-06-02,1995-04-12,D021,2023-01-15,2023-02-15
1068,Diego,López,M,2022-12-29,1990-08-30,D010,2023-09-05,2023-10-05
1069,Sofía,Martínez,F,2023-05-06,1993-03-05,D011,2023-10-01,2023-11-01
1070,Matías,Fernández,M,2022-10-02,1996-10-09,D021,2023-01-15,2023-02-15
1071,Victoria,Sánchez,F,2023-04-30,1991-11-19,D010,2023-09-05,2023-10-05
1072,Sebastián,Díaz,M,2023-02-09,1995-12-18,D011,2023-10-01,2023-11-01
1073,Amelia,Ortega,F,2022-08-17,1997-08-23,D021,2023-01-15,2023-02-15
1074,Daniel,Ramírez,M,2023-06-25,1990-02-01,D010,2023-09-05,2023-10-05
1075,Ana,García,F,2022-11-14,1994-09-07,D011,2023-10-01,2023-11-01
1076,Hugo,Ruiz,M,2023-03-19,1993-07-31,D021,2023-01-15,2023-02-15
1077,Lucía,Navarro,F,2022-05-21,1996-05-25,D010,2023-09-05,2023-10-05
1078,Alejandro,Ortiz,M,2023-07-14,1992-04-02,D011,2023-10-01,2023-11-01
1079,Isabella,Flores,F,2023-03-11,1990-03-15,D011,2023-10-01,2023-11-01
1080,Manuel,Gutierrez,M,2022-07-09,1994-12-28,D021,2023-01-15,2023-02-15
1081,Julia,Pérez,F,2023-01-14,1992-09-21,D010,2023-09-05,2023-10-05
1082,Lucas,Gómez,M,2022-11-26,1997-06-06,D011,2023-10-01,2023-11-01
1083,Valentina,Rodríguez,F,2023-06-02,1995-04-12,D021,2023-01-15,2023-02-15
1084,Diego,López,M,2022-12-29,1990-08-30,D010,2023-09-05,2023-10-05
1085,Sofía,Martínez,F,2023-05-06,1993-03-05,D011,2023-10-01,2023-11-01
1086,Matías,Fernández,M,2022-10-02,1996-10-09,D021,2023-01-15,2023-02-15
1087,Victoria,Sánchez,F,2023-04-30,1991-11-19,D010,2023-09-05,2023-10-05
1088,Sebastián,Díaz,M,2023-02-09,1995-12-18,D011,2023-10-01,2023-11-01
1089,Amelia,Ortega,F,2022-08-17,1997-08-23,D021,2023-01-15,2023-02-15
1090,Daniel,Ramírez,M,2023-06-25,1990-02-01,D010,2023-09-05,2023-10-05
1091,Ana,García,F,2022-11-14,1994-09-07,D011,2023-10-01,2023-11-01
1092,Hugo,Ruiz,M,2023-03-19,1993-07-31,D021,2023-01-15,2023-02-15
1093,Lucía,Navarro,F,2022-05-21,1996-05-25,D010,2023-09-05,2023-10-05
1094,Alejandro,Ortiz,M,2023-07-14,1992-04-02,D011,2023-10-01,2023-11-01
1095,Isabella,Flores,F,2023-03-11,1990-03-15,D011,2023-10-01,2023-11-01
1096,Manuel,Gutierrez,M,2022-07-09,1994-12-28,D021,2023-01-15,2023-02-15
1097,Julia,Pérez,F,2023-01-14,1992-09-21,D010,2023-09-05,2023-10-05
1098,Lucas,Gómez,M,2022-11-26,1997-06-06,D011,2023-10-01,2023-11-01
1099,Valentina,Rodríguez,F,2023-06-02,1995-04-12,D021,2023-01-15,2023-02-15
1100,Diego,López,M,2022-12-29,1990-08-30,D010,2023-09-05,2023-10-05
