emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no
1150,1965-01-01,Mercedes,Reynolds,M,1995-01-01,d027
1151,1966-01-01,Barbara,Phillips,F,1996-01-01,d029
1152,1967-01-01,Jacob,Anderson,M,1996-12-31,d022
1153,1968-01-01,Gregory,Lee,F,1997-12-31,d029
1154,1968-12-31,Oscar,Simmons,M,1998-12-31,d028
1155,1969-12-31,Katherine,Moran,F,1999-12-31,d027
1156,1970-12-31,Joseph,Mcguire,M,2000-12-30,d021
1157,1971-12-31,Christian,Lee,F,2001-12-30,d025
1158,1972-12-30,Anthony,Walker,M,2002-12-30,d027
1159,1973-12-30,Denise,Adams,F,2003-12-30,d022
1160,1974-12-30,Elizabeth,Mason,M,2004-12-29,d021
1161,1975-12-30,Amanda,Ochoa,F,2005-12-29,d029
1162,1976-12-29,Rhonda,Fernandez,M,2006-12-29,d029
1163,1977-12-29,Bryce,Thompson,F,2007-12-29,d025
1164,1978-12-29,Nathaniel,Arellano,M,2008-12-28,d026
1165,1979-12-29,Rebecca,Powers,F,2009-12-28,d028
1166,1980-12-28,Karen,Shea,M,2010-12-28,d027
1167,1981-12-28,Vicki,Yates,F,2011-12-28,d027
1168,1982-12-28,Richard,Williams,M,2012-12-27,d021
1169,1983-12-28,Timothy,Gonzalez,F,2013-12-27,d023
1170,1984-12-27,Allen,Quinn,M,2014-12-27,d021
1171,1985-12-27,Jessica,Scott,F,2015-12-27,d020
1172,1986-12-27,Erik,Walker,M,2016-12-26,d022
1173,1987-12-27,Catherine,Brown,F,2017-12-26,d022
1174,1988-12-26,Jessica,Dixon,M,2018-12-26,d023
1175,1989-12-26,Tasha,Hawkins,F,2019-12-26,d026
1176,1990-12-26,Samuel,Murphy,M,2020-12-25,d026
1177,1991-12-26,Lance,Black,F,2021-12-25,d029
1178,1992-12-25,Valerie,Castro,M,2022-12-25,d020
1179,1993-12-25,Emily,French,F,2023-12-25,d024
1180,1994-12-25,Sophia,Campbell,M,2024-12-24,d029
1181,1995-12-25,Amy,Flowers,F,2025-12-24,d027
1182,1996-12-24,Cody,Martinez,M,2026-12-24,d025
1183,1997-12-24,Rebecca,Norman,F,2027-12-24,d026
