emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,from_date,to_date
001,1963-12-26,Charles,Williams,F,2017-08-25,d017,2010-12-22,2021-03-09
002,1980-01-16,Karen,Wilson,M,2011-10-31,d019,2016-06-03,2016-09-18
003,1968-06-04,Linda,Anderson,F,2010-06-27,d024,2013-08-21,2014-06-24
004,1988-06-12,Thomas,Miller,F,2019-03-22,d015,2017-02-18,2018-08-18
005,1998-10-15,Patricia,Taylor,F,2018-02-11,d015,2011-04-07,2018-10-13
006,1992-01-14,William,Brown,M,2018-04-07,d007,2012-09-14,2016-06-29
007,1975-12-09,Jessica,Smith,M,2011-09-18,d023,2016-02-02,2016-04-26
008,1980-10-05,Susan,Garcia,F,2017-05-04,d008,2017-08-15,2022-06-13
009,1963-05-05,Jessica,Smith,F,2010-04-22,d009,2012-01-24,2021-01-15
010,1958-09-04,Mary,Garcia,F,2021-06-06,d007,2017-03-18,2021-12-30
011,1952-05-06,John,Taylor,M,2014-06-05,d024,2013-08-03,2014-07-27
012,1962-12-14,Charles,Rodriguez,F,2016-05-11,d012,2012-09-08,2014-12-10
013,1990-07-12,Richard,Williams,F,2014-10-27,d004,2015-12-27,2019-06-03
014,1995-01-02,James,Thomas,F,2016-10-19,d015,2012-04-15,2022-08-22
015,1998-09-15,Charles,Gonzalez,M,2010-08-18,d002,2019-12-26,2020-07-07
016,1954-09-30,William,Moore,M,2015-08-11,d020,2014-11-26,2017-07-15
017,1984-05-26,Sarah,Anderson,F,2019-04-22,d024,2017-02-25,2020-01-19
018,1965-11-19,Elizabeth,Thomas,F,2020-01-14,d003,2012-01-19,2020-09-12
019,1980-01-02,Jennifer,Smith,M,2020-06-02,d003,2012-09-25,2017-10-17
020,1969-02-09,Sarah,Hernandez,F,2011-05-27,d007,2014-10-19,2021-11-16
021,1992-07-10,John,Wilson,M,2014-09-20,d012,2020-12-29,2021-05-13
022,1964-03-22,John,Jackson,M,2022-03-22,d012,2016-08-24,2019-07-06
023,1967-06-06,Robert,Jackson,M,2022-03-22,d020,2016-01-23,2018-11-12
024,1993-09-21,Elizabeth,Wilson,F,2021-09-27,d003,2017-11-30,2018-01-10
025,1993-12-30,David,Hernandez,F,2017-10-12,d012,2010-03-20,2018-05-24
