emp_no,first_name,last_name,gender,birth_date,hire_date,dept_no
101,John,Smith,M,1990-05-15,2021-03-10,D011
102,Emily,Johnson,F,1985-09-20,2022-02-05,D012
103,Michael,Williams,M,1988-07-12,2023-01-15,D013
104,Sarah,Jones,F,1992-11-30,2020-11-20,D014
105,David,Anderson,M,1983-04-03,2022-12-18,D015
106,Laura,Davis,F,1986-06-25,2020-09-08,D016
107,Robert,Miller,M,1995-01-10,2021-08-30,D017
108,Lisa,White,F,1989-08-05,2023-02-14,D018
109,William,Clark,M,1987-03-18,2022-05-07,D019
110,Michelle,Martin,F,1990-12-15,2020-06-25,D020
111,James,Johnson,M,1998-02-28,2021-07-12,D011
112,Amy,Wilson,F,1984-09-08,2022-11-03,D012
113,Christopher,Taylor,M,1987-11-20,2023-03-19,D013
114,Jessica,Lee,F,1991-06-02,2020-10-15,D014
115,Matthew,Harris,M,1986-04-14,2022-09-28,D015
116,Karen,Moore,F,1989-12-03,2021-05-10,D016
117,Jonathan,Anderson,M,1993-03-25,2023-04-22,D017
118,Susan,Smith,F,1985-01-08,2020-12-05,D018
119,Andrew,Wilson,M,1988-07-29,2021-10-08,D019
120,Elizabeth,Johnson,F,1992-08-21,2022-08-01,D020
121,Daniel,Williams,M,1997-04-11,2023-05-27,D011
122,Julia,Davis,F,1985-10-22,2020-07-19,D012
123,Joseph,Moore,M,1989-06-18,2022-06-13,D013
124,Amanda,Jackson,F,1990-09-05,2021-03-02,D014
125,Michael,Hernandez,M,1994-02-15,2023-06-10,D015
126,Lauren,Johnson,F,1996-11-28,2020-11-14,D016
127,Mark,Taylor,M,1988-03-09,2022-04-17,D017
128,Stephanie,Clark,F,1991-07-01,2021-12-30,D018
129,David,Smith,M,1987-08-12,2023-07-05,D019
130,Emily,Roberts,F,1993-12-20,2020-08-23,D020
131,John,Davis,M,1986-05-29,2021-11-07,D011
132,Megan,Anderson,F,1990-04-04,2022-10-22,D012
133,Thomas,Harris,M,1998-03-17,2023-08-14,D013
134,Rebecca,Miller,F,1991-09-10,2020-09-05,D014
135,Christopher,Moore,M,1985-08-23,2022-03-25,D015
136,Kimberly,Smith,F,1987-01-06,2021-06-20,D016
137,William,Davis,M,1996-02-28,2023-09-29,D017
138,Ashley,Johnson,F,1989-07-15,2020-10-10,D018
139,Richard,Anderson,M,1992-12-31,2021-04-12,D019
140,Michelle,Taylor,F,1988-04-26,2022-07-03,D020
141,Daniel,Jones,M,1987-06-08,2023-10-17,D011
142,Jennifer,Wilson,F,1990-08-12,2020-12-30,D012
143,Joseph,Hernandez,M,1993-01-20,2021-09-15,D013
144,Karen,Smith,F,1985-05-18,2022-01-08,D014
145,Michael,Williams,M,1997-09-28,2023-11-19,D015
146,Rebecca,Davis,F,1989-03-12,2020-07-10,D016
147,David,Jackson,M,1986-11-15,2021-02-14,D017
148,Laura,Johnson,F,1990-07-03,2022-05-30,D018
149,Robert,Moore,M,1994-06-22,2023-12-25,D019
150,Emily,Thomas,F,1987-10-29,2020-06-11,D020
151,Brian,Anderson,M,1995-08-04,2021-04-03,D011
152,Julia,Clark,F,1984-12-19,2022-03-07,D012
153,Matthew,Hernandez,M,1991-07-27,2023-09-10,D013
154,Amanda,Smith,F,1996-06-13,2020-10-28,D014
155,Kevin,Moore,M,1985-02-07,2022-08-02,D015
156,Susan,Davis,F,1988-04-14,2021-02-18,D016
157,James,Williams,M,1990-01-29,2023-05-15,D017
158,Jennifer,Johnson,F,1993-03-21,2020-11-01,D018
159,William,Taylor,M,1987-10-06,2021-06-12,D019
