employeeId;firstName;lastName;gender;hireDate;birthDate
1000;Carla;Pérez;M;2023-02-15;1990-05-10
1001;Jesús;García;F;2023-05-20;1985-08-22
1002;Ana;Rodríguez;F;2023-03-10;1992-07-15
1003;Luis;Martínez;M;2023-04-05;1988-09-18
1004;David;Sánchez;M;2023-06-12;1991-10-25
1005;María;López;F;2023-01-30;1989-11-30
1006;Pedro;González;M;2023-07-01;1990-12-31
1007;Laura;Fernández;F;2023-08-15;1993-01-28
1008;Pablo;Gómez;M;2023-09-20;1987-02-26
1009;Elena;Díaz;F;2023-10-30;1994-03-30
1010;Juan;Ruiz;M;2023-11-10;1986-04-29
1011;Sara;Moreno;F;2023-12-20;1995-05-31
1012;Carlos;Jiménez;M;2023-02-28;1991-06-30
1013;Marta;Torres;F;2023-03-31;1992-07-31
1014;José;Hernández;M;2023-04-30;1990-08-31
1015;Irene;García;F;2023-05-31;1993-09-30
1016;Daniel;Pérez;M;2023-06-30;1989-10-31
1017;Lucía;Sánchez;F;2023-07-31;1994-11-30
1018;Javier;López;M;2023-08-31;1988-12-31
1019;Alba;Fernández;F;2023-09-30;1995-01-31
1020;Marcos;González;M;2023-10-31;1987-02-28
1021;Sofía;Gómez;F;2023-11-30;1996-03-31
1022;Alejandro;Díaz;M;2023-12-31;1992-04-30
1023;Eva;Ruiz;F;2023-01-31;1991-05-31
1024;Sergio;Moreno;M;2023-02-28;1990-06-30
1025;Noelia;Jiménez;F;2023-03-31;1993-07-31
1026;Rubén;Torres;M;2023-04-30;1989-08-31
1027;Clara;Hernández;F;2023-05-31;1994-09-30
1028;Miguel;García;M;2023-06-30;1988-10-31
1029;Cristina;Pérez;F;2023-07-31;1995-11-30
1030;Alberto;Sánchez;M;2023-08-31;1987-12-31
1031;Rocío;López;F;2023-09-30;1996-01-31
1032;Adrián;Fernández;M;2023-10-31;1992-02-29
1033;Raquel;González;F;2023-11-30;1991-03-31
1034;Jorge;Gómez;M;2023-12-31;1990-04-30
1035;Sandra;Díaz;F;2023-01-31;1993-05-31
1036;Víctor;Ruiz;M;2023-02-28;1989-06-30
1037;Andrea;Moreno;F;2023-03-31;1994-07-31
1038;Óscar;Jiménez;M;2023-04-30;1988-08-31
1039;Patricia;Torres;F;2023-05-31;1995-09-30
1040;Álvaro;Hernández;M;2023-06-30;1987-10-31
1041;Ainhoa;García;F;2023-07-31;1996-11-30
1042;Samuel;Pérez;M;2023-08-31;1992-12-31
1043;Carmen;Sánchez;F;2023-09-30;1991-01-31
1044;Mario;López;M;2023-10-31;1990-02-28
1045;Paula;Fernández;F;2023-11-30;1993-03-31
1046;Diego;González;M;2023-12-31;1989-04-30
1047;Inés;Gómez;F;2023-01-31;1994-05-31
1048;Antonio;Díaz;M;2023-02-28;1988-06-30
1049;Laura;Ruiz;F;2023-03-31;1995-07-31
1050;Manuel;Moreno;M;2023-04-30;1987-08-31
1051;Marta;Jiménez;F;2023-05-31;1996-09-30
1052;Ángel;Torres;M;2023-06-30;1992-10-31
1053;Nuria;Hernández;F;2023-07-31;1991-11-30
1054;Francisco;García;M;2023-08-31;1990-12-31
1055;Silvia;Pérez;F;2023-09-30;1993-01-31
1056;Roberto;Sánchez;M;2023-10-31;1989-02-28
1057;Alicia;López;F;2023-11-30;1994-03-31
1058;Ricardo;Fernández;M;2023-12-31;1988-04-30
1059;Ana;González;F;2023-01-31;1995-05-31
1060;Eduardo;Gómez;M;2023-02-28;1987-06-30
1061;Isabel;Díaz;F;2023-03-31;1996-07-31
1062;Iván;Ruiz;M;2023-04-30;1992-08-31
1063;Beatriz;Moreno;F;2023-05-31;1991-09-30
1064;Raúl;Jiménez;M;2023-06-30;1990-10-31
